Codigo;Empresa;Classes;Codigo_Yahoo;Indice_Bovespa;Tipo_Ativo
SHOW3;TIME FOR FUN;ON   NM;SHOW3.SA;Não;Ação
TOTS3;TOTVS;ON   NM;TOTS3.SA;Sim;Ação
TFCO4;TRACK FIELD;PN   N2;TFCO4.SA;Não;Ação
TRPL4;TRAN PAULIST;PN   N1;TRPL4.SA;Não;Ação
TRIS3;TRISUL;ON   NM;TRIS3.SA;Não;Ação
TPIS3;TRIUNFO PART;ON   NM;TPIS3.SA;Não;Ação
TUPY3;TUPY;ON   NM;TUPY3.SA;Não;Ação
UGPA3;ULTRAPAR;ON   NM;UGPA3.SA;Sim;Ação
FIQE3;UNIFIQUE;ON   NM;FIQE3.SA;Não;Ação
UNIP6;UNIPAR;PNB;UNIP6.SA;Não;Ação
USIM3;USIMINAS;ON   N1;USIM3.SA;Não;Ação
USIM5;USIMINAS;PNA  N1;USIM5.SA;Sim;Ação
VALE3;VALE;ON   NM;VALE3.SA;Sim;Ação
VLID3;VALID;ON   NM;VLID3.SA;Não;Ação
VAMO3;VAMOS;ON   NM;VAMO3.SA;Não;Ação
VIIA3;VIA;ON   NM;VIIA3.SA;Sim;Ação
VBBR3;VIBRA;ON   NM;VBBR3.SA;Sim;Ação
VITT3;VITTIA;ON   NM;VITT3.SA;Não;Ação
VIVA3;VIVARA S.A.;ON   NM;VIVA3.SA;Não;Ação
VVEO3;VIVEO;ON   NM;VVEO3.SA;Não;Ação
VULC3;VULCABRAS;ON   NM;VULC3.SA;Não;Ação
LVTC3;WDC NETWORKS;ON   NM;LVTC3.SA;Não;Ação
WEGE3;WEG;ON   NM;WEGE3.SA;Sim;Ação
WEST3;WESTWING;ON   NM;WEST3.SA;Não;Ação
PORT3;WILSON SONS;ON   NM;PORT3.SA;Não;Ação
WIZS3;WIZ S.A.;ON   NM;WIZS3.SA;Não;Ação
YDUQ3;YDUQS PART;ON   NM;YDUQ3.SA;Sim;Ação
ZAMP3;ZAMP S.A.;ON   NM;ZAMP3.SA;Não;Ação
WDO@;Mini dólar;;;;BMF
WIN@;Mini índice;;;;BMF
MMMC34;3M;;;;BDR
ABUD34;AB INBEV;;;;BDR
A1BB34;ABB LTD;;;;BDR
ABTT34;ABBOTT;;;;BDR
ABBV34;ABBVIE;;;;BDR
A1BM34;ABIOMED INC;;;;BDR
ATVI34;ACTIVISION ;;;;BDR
ADBE34;ADOBE INC;;;;BDR
A1AP34;ADVANCE AUTO PARTS INC;;;;BDR
A1MD34;ADVANCED MIC;;;;BDR
A1EG34;AEGON NV;;;;BDR
A1ES34;AES CORP;;;;BDR
A1FL34;AFLAC INC;;;;BDR
AIRB34;AIRBNB;;;;BDR
A1GI34;AGILENT TECHNOLOGIES INC;;;;BDR
A1PD34;AIR PRODUCTS & CHEMICALS INC;;;;BDR
A1KA34;AKAMAI TECHNOLOGIES INC;;;;BDR
